crate,area,tier,maintenance,updated_at,recent_downloads,downloads,api_fit,perf_potential,overlap_risk,cleanroom_compat,note
cssparser,parser_tokenizer,evaluate/prototype,high,2026-03-17,10649044,41208748,medium,high,medium,medium,"Mature low-level token/grammar parser; best as differential oracle, not full replacement."
cssparser-macros,parser_tokenizer,evaluate/prototype,high,2026-03-17,8791426,36400524,medium,medium,medium,medium,Useful only if cssparser chosen for grammar helpers.
cssparser-color,style_representation,evaluate/prototype,high,2026-03-17,534188,2116362,medium,medium,medium,medium,Fine-grained CSS Color syntax helper; test for value model fit first.
selectors,selector_matching,evaluate/prototype,high,2026-03-18,9020499,34971023,medium,high,medium,medium,"Spec-aligned selector engine; strong conformance oracle, high runtime overlap with in-house matcher."
parcel_selectors,selector_matching,avoid/reject,high,2025-05-11,498655,2197743,low,medium,high,low,Parcel-specific selector stack; overlaps selectors + adds bundler coupling.
lightningcss,parser_tokenizer,avoid/reject,high,2026-03-09,504262,2280600,low,medium,high,low,Excellent performance but full engine (parser/transform/minify); too much cleanroom overlap.
swc_css_parser,parser_tokenizer,evaluate/prototype,high,2026-04-03,74794,1246276,medium,high,medium,medium,Fast parser with broad syntax coverage; useful for corpus differential testing.
swc_css_ast,parser_tokenizer,evaluate/prototype,high,2026-04-03,78430,1113110,medium,medium,medium,medium,AST model for swc_css_parser; useful only in differential harnesses.
swc_css_visit,parser_tokenizer,evaluate/prototype,high,2026-04-03,76907,1072451,medium,medium,medium,medium,Visitor tooling for swc AST; harness-only utility.
swc_css_compat,parser_tokenizer,avoid/reject,high,2026-04-03,53325,707127,low,medium,high,low,"Build-time compatibility transform layer, not browser runtime need."
swc_css_modules,parser_tokenizer,avoid/reject,high,2026-04-03,26418,672073,low,medium,high,low,CSS Modules transform crate; not aligned with browser engine architecture.
biome_css_parser,parser_tokenizer,avoid/reject,medium,2024-12-18,1851,16991,low,medium,high,low,Biome ecosystem dependency chain is heavy for this use-case.
css_lexer,parser_tokenizer,avoid/reject,high,2026-04-06,3645,83223,low,medium,high,low,Very small ecosystem and unclear maintenance depth versus mature alternatives.
csscolorparser,style_representation,adopt now,high,2026-03-09,3574282,7577491,high,medium,low,high,Small focused color parser fits typed color pipeline with minimal overlap.
html5ever,selector_matching,evaluate/prototype,high,2026-03-13,13127596,51744693,medium,medium,medium,medium,Strong spec corpus and parser infra; suitable as behavior reference harness.
markup5ever,selector_matching,evaluate/prototype,high,2026-03-13,13213598,52108173,medium,medium,medium,medium,Needed companion types if html5ever-based harnessing is used.
tendril,selector_matching,evaluate/prototype,high,2026-01-09,10411172,46008675,medium,medium,medium,medium,Efficient string buffer abstraction if html5ever harness path is taken.
